model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.8055358410220014,0.6572327044025157,0.5588235294117647,0.6040462427745664,0.8418610659019866
XGBoost,0.7955997161107168,0.6442953020134228,0.5133689839572193,0.5714285714285714,0.8385323826500297
Random Forest,0.7970191625266146,0.6476510067114094,0.516042780748663,0.5744047619047619,0.83513782324524
